title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
3 room apartment,Turkey,"Marmara Region, Cekmekoey Askeri Boelge, Turkey",2023,,4,3,2,1,154.0,75.0,325547.0,https://realting.com/uploads/bigSlider/693/00ad73883b4c6c443a82295271dd4.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1758038
1 room condo,Thailand,"Phuket, Thailand",2023,,4,3,1,1,31.0,75.0,50607.0,https://realting.com/uploads/bigSlider/dc0/1c93ef54243ab.webp,https://realting.com/property-for-sale/thailand/phuket-buy-house/768952
1 room condo,Thailand,"Phuket, Thailand",2023,,4,3,1,1,30.0,75.0,51545.0,https://realting.com/uploads/bigSlider/b33/1d52d0ea5241f.webp,https://realting.com/property-for-sale/thailand/phuket-buy-house/769625
1 room apartment,Thailand,"Pattaya, Thailand",2023,8,1,1,2,1,25.0,75.0,37365.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654708
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,70.0,75.0,259721.0,https://realting.com/uploads/bigSlider/dab/5015aada4925b.webp,https://realting.com/property-for-sale/montenegro/victory-united-doo/1632634
1 room apartment,Montenegro,Montenegro,2015,,4,3,1,1,96.0,75.0,233690.0,https://realting.com/uploads/bigSlider/638/d853413dac46f.webp,https://realting.com/property-for-sale/montenegro/md-realty/289424
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,90.0,75.0,307601.0,https://realting.com/uploads/bigSlider/9dc/36e466462646b.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1393812
2 room apartment,Montenegro,Montenegro,2014,,4,3,2,2,100.0,75.0,260863.0,https://realting.com/uploads/bigSlider/51c/4ab6355bc4e5c4e0385fc4cadcd90.webp,https://realting.com/property-for-sale/montenegro/md-realty/297987
3 room apartment,Montenegro,Montenegro,2023,,4,3,3,1,90.0,75.0,369556.0,https://realting.com/uploads/bigSlider/558/539d4a674ce5e01b7a639ac9f6759.webp,https://realting.com/property-for-sale/montenegro/mercury-group/1521756
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,3,3,2,1,77.0,75.0,309775.0,https://realting.com/uploads/bigSlider/75a/98c999b84a633.webp,https://realting.com/property-for-sale/montenegro/3-brd-consulting-doo/1250091
2 room apartment,Montenegro,"Kotor Municipality, Montenegro",2023,,4,3,2,2,92.0,75.0,273000.0,https://realting.com/uploads/bigSlider/377/e3ea594867bbe314dd82bf31a3a3c.webp,https://realting.com/property-for-sale/montenegro/first-realty/1696478
2 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,,4,3,2,1,90.0,75.0,260863.0,https://realting.com/uploads/bigSlider/142/04fc645b37ceb.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1632801
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,2,104.0,75.0,298905.0,https://realting.com/uploads/bigSlider/d43/427e0be8526cb.webp,https://realting.com/property-for-sale/montenegro/montbel-d-o-o/407873
3 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,,4,3,2,1,96.0,75.0,309775.0,https://realting.com/uploads/bigSlider/bcd/8e88e3f62d1097988bb1a3a081e7b.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1707138
4 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,1,1,4,2,1,140.0,75.0,331789.0,https://realting.com/uploads/bigSlider/b6b/1a949495e9293.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1542534
1 room apartment,Uzbekistan,"Yunusabad district, Uzbekistan",2023,10,3,3,1,2,85.0,75.0,125000.0,https://realting.com/uploads/bigSlider/e16/5a5e5041323f18df6c469d1e1cf94.webp,https://realting.com/uzbekistan/property/1767950
1 room apartment,Uzbekistan,"Tashkent Region, Zangiota Tumani, Uzbekistan",2023,6,4,2,1,1,64.0,75.0,190000.0,https://realting.com/uploads/bigSlider/c78/3960b5dc3b1d7222a9e7c23f36dc6.webp,https://realting.com/uzbekistan/property/1767896
apartment,Thailand,"Pattaya, Thailand",2016,20,1,3,2,1,24.0,75.0,55000.0,https://realting.com/uploads/bigSlider/cfc/50d507a566115a016ae04d7ae7168.webp,https://realting.com/property-for-sale/thailand/rieltor-bez-granic/1716616
1 room apartment,Thailand,"Pattaya, Thailand",2023,8,8,1,2,1,23.0,75.0,42437.0,https://realting.com/uploads/bigSlider/943/9afc8fc93f786ce2bdffddae20c79.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654724
1 room apartment,Thailand,"Pattaya, Thailand",2023,8,8,1,2,1,24.0,75.0,42749.0,https://realting.com/uploads/bigSlider/a44/bade8edafe6952405bf9165e34985.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1674153
3 room apartment,Montenegro,"Bar Municipality, Montenegro",2023,,4,3,3,2,100.0,75.0,237571.0,https://realting.com/uploads/bigSlider/4a4/236daad895667.webp,https://realting.com/property-for-sale/montenegro/vevi/1599401
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,71.0,75.0,222820.0,https://realting.com/uploads/bigSlider/4e8/952666c567633.webp,https://realting.com/property-for-sale/montenegro/md-realty/297553
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,80.0,75.0,228255.0,https://realting.com/uploads/bigSlider/53d/4cc4fcc9c0353.webp,https://realting.com/property-for-sale/montenegro/md-realty/289446
3 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,4,3,2,104.0,75.0,259744.0,https://realting.com/uploads/bigSlider/3af/361011fdcc833.webp,https://realting.com/property-for-sale/montenegro/es35-com/1584792
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,2,92.0,75.0,249993.0,https://realting.com/uploads/bigSlider/892/8e1d2dc6e4753.webp,https://realting.com/property-for-sale/montenegro/3-brd-consulting-doo/282644
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,2,100.0,75.0,253596.0,https://realting.com/uploads/bigSlider/024/c5df8b8cf8b061e22d115d59d7e13.webp,https://realting.com/property-for-sale/montenegro/recom/1739985
2 room apartment,Montenegro,Montenegro,2023,,4,3,2,1,180.0,75.0,233690.0,https://realting.com/uploads/bigSlider/ae5/18311db7a7883.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1606401
3 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,9,3,3,2,1,110.0,75.0,290687.0,https://realting.com/uploads/bigSlider/d4d/330397234cfd.webp,https://realting.com/property-for-sale/turkey/zera-homes/1534240
