title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"2 room apartment  in Maltepe, Turkey",Turkey,"Maltepe, Marmara Region, Turkey",,,,3.0,2.0,2.0,,131 m²,274517.0,https://realting.com/uploads/bigSlider/445/4aa2e3d9ccc67.webp,https://realting.com/property-for-sale/turkey/realty-group/1545192
"3 room apartment 98 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2023.0,,,3.0,,1.0,98 m²,,297818.0,https://realting.com/uploads/bigSlider/a35/b9188580899eefc235d672dfd86df.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1706989
"1 room apartment 50 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2021.0,20.0,15.0,2.0,1.0,,50 m²,,284000.0,https://realting.com/uploads/bigSlider/dea/5fcd2cc41d60e9db68e2fdabc965a.webp,https://realting.com/property-for-sale/turkey/dda-real-estate/1726297
"2 room apartment 194 m² in Bitez, Turkey",Turkey,"Bitez, Aegean Region, Bodrum, Turkey",,,,,2.0,,194 m²,,2010817.0,https://realting.com/uploads/bigSlider/f18/3be6cc781fd7c89db5734efc8f735.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634601
"5 room apartment 200 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",,4.0,1.0,5.0,,,200 m²,,363359.0,https://realting.com/uploads/bigSlider/743/ef8071cf880cd.webp,https://realting.com/property-for-sale/turkey/zera-homes/1590238
"2 room apartment 120 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",,9.0,3.0,3.0,2.0,,120 m²,,316840.0,https://realting.com/uploads/bigSlider/214/c8ff8e2d7bf82dced49b52dffd6a5.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1751180
"3 room apartment 269 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,3.0,,269 m²,,2390155.0,https://realting.com/uploads/bigSlider/d19/f23e0766c11b02241f95bbd096e75.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634107
"3 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,10.0,5.0,3.0,,,110 m²,,314911.0,https://realting.com/uploads/bigSlider/dc6/3923366616d25.webp,https://realting.com/property-for-sale/turkey/zera-homes/1594744
"2 room apartment 63 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,2.0,,63 m²,,232256.0,https://realting.com/uploads/bigSlider/8a3/a5dc614ccae53.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634270
"5 room apartment 280 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,4.0,4.0,5.0,,,280 m²,,296864.0,https://realting.com/uploads/bigSlider/be1/e8e8ace423171.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1540395
"3 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,3.0,3.0,3.0,,,110 m²,,232834.0,https://realting.com/uploads/bigSlider/701/383d4294bb5e7.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1541726
"3 room apartment 95 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",,5.0,2.0,3.0,,,95 m²,,291238.0,https://realting.com/uploads/bigSlider/956/fbc9863206927.webp,https://realting.com/property-for-sale/turkey/zera-homes/1639554
"Penthouse 3 bedrooms 140 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2021.0,5.0,5.0,4.0,3.0,2.0,140 m²,127 m²,274461.0,https://realting.com/uploads/bigSlider/16a/ec46231798ec7.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1584933
"2 room apartment 95 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,,,,2.0,1.0,95 m²,,271732.0,https://realting.com/uploads/bigSlider/2ce/9ad2c66a4d21b.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1636836
