title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"2 room apartment 120 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",,5.0,1.0,3.0,2.0,2.0,120 m²,110 m²,315209.0,https://realting.com/uploads/bigSlider/ab3/888989d8c45280f0e1e17d633ee94.webp,https://realting.com/property-for-sale/turkey/inest-homes/1766770
"4 room villa 500 m² in Kalkan, Turkey",Turkey,"Kalkan, Mediterranean Region, Kas, Turkey",2021.0,2.0,,,,,500 m²,480 m²,1108667.0,https://realting.com/uploads/bigSlider/87b/67960b9229216decf200460d37dca.webp,https://realting.com/property-for-sale/turkey/inest-homes/1767446
"1 room apartment 65 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",,5.0,2.0,2.0,1.0,1.0,65 m²,60 m²,173211.0,https://realting.com/uploads/bigSlider/030/a115091710bbd90676afae0ffb1df.webp,https://realting.com/property-for-sale/turkey/fsbo/1766776
"1 room apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2020.0,15.0,5.0,2.0,1.0,1.0,,40 m²,99900.0,https://realting.com/uploads/bigSlider/e9a/e061e09c8544dd3e449393b82e3b8.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754337
"2 room apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2026.0,8.0,3.0,3.0,2.0,1.0,,36 m²,67000.0,https://realting.com/uploads/bigSlider/453/aa2f3e8c7387dd5f91d4271ecc4e0.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754327
"1 room apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026.0,,,1.0,,1.0,28 m²,,35622.0,https://realting.com/uploads/bigSlider/16f/406c7a33e86a7ca2f5285bf817e47.webp,https://realting.com/property-for-sale/georgia/flatiko-llc/1765932
"4 room apartment 245 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2007.0,2.0,3.0,5.0,4.0,4.0,245 m²,245 m²,274415.0,https://realting.com/uploads/bigSlider/9c8/6f1d74ccdc5e0d8153dbcbb49d147.webp,https://realting.com/property-for-sale/turkey/fsbo/1732620
"1 room studio apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2026.0,8.0,2.0,1.0,1.0,1.0,,25 m²,44700.0,https://realting.com/uploads/bigSlider/b50/f4bbb75591310bcd8fa4a68e2564e.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754393
"Apartment 1 bathroom 74 m² in Ratisevina-Suscepan-Trebesin, Montenegro",Montenegro,"Ratisevina-Suscepan-Trebesin, Herceg Novi, Montenegro",,,,,,1.0,74 m²,,168881.0,https://realting.com/uploads/bigSlider/dd6/fa8ca136c5c1.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1333002
"1 room apartment 50 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,16.0,12.0,2.0,1.0,1.0,50 m²,,254404.0,https://realting.com/uploads/bigSlider/820/d3fabba126d2867aaba6a70a114d5.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1674799
"Penthouse 1 bedroom 96 m² in Kyrenia, Northern Cyprus",Northern Cyprus,"Kyrenia, Girne (Kyrenia) District, Northern Cyprus",2027.0,1.0,,2.0,1.0,2.0,96 m²,86 m²,199268.0,https://realting.com/uploads/bigSlider/025/e2cc67847670bdedda8a544a3a9d2.webp,https://realting.com/property-for-sale/northern-cyprus/properties-and-partners/1721836
"Apartment 48 m² in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",,4.0,4.0,,,,48 m²,,297706.0,https://realting.com/uploads/bigSlider/18c/290243e0f845686631520ca403956.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1687621
"5 room house 312 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",,2.0,,,,,312 m²,,693045.0,https://realting.com/uploads/bigSlider/505/e192ec009e647b593aec02ff65274.webp,https://realting.com/property-for-sale/lithuania/crew-estate/1584940
"Cottage 555 m² in Haranski sielski Saviet, Belarus",Belarus,"Minsk Region, Haranski sielski Saviet, Minsk District, Belarus",2017.0,3.0,,,,,555 m²,,295000.0,https://realting.com/uploads/bigSlider/1c6/9af3546b68c741d16c5d0ec40a402.webp,https://realting.com/property-for-sale/belarus/ekspressnedvizhimost-rielt-roman/1684279
"1 room studio apartment 38 m² in UAE, UAE",UAE,UAE,2024.0,6.0,,1.0,1.0,1.0,38 m²,38 m²,97930.0,https://realting.com/uploads/bigSlider/6e3/0b551cfb6bfe550b5a0f2fe96f10a.webp,https://realting.com/property-for-sale/united-arab-emirates/dda-real-estate/1733867
"2 room apartment 54 m² in Prague, Czech Republic",Czech Republic,"Prague, Czech Republic",2023.0,4.0,2.0,4.0,2.0,1.0,54 m²,54 m²,314990.0,https://realting.com/uploads/bigSlider/08e/1d546e282854c28aa0458723d10ee.webp,https://realting.com/property-for-sale/czech-republic/kv-property-s-r-o/1720630
"1 room apartment 36 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Chilanzar District, Uzbekistan",,4.0,1.0,2.0,1.0,1.0,36 m²,,72000.0,https://realting.com/uploads/bigSlider/188/e572e268f2da2b07aebfba8610d7a.webp,https://realting.com/uzbekistan/property/1768138
"Penthouse 3 bedrooms 150 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022.0,5.0,,4.0,3.0,2.0,150 m²,135 m²,260863.0,https://realting.com/uploads/bigSlider/66a/f86207a2b18ae3ca5308808b5066e.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731560
"1 room apartment 25 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,6.0,1.0,,1.0,25 m²,,42642.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654716
"1 room apartment 25 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,6.0,1.0,,1.0,25 m²,,42642.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1674139
"5 room apartment 128 m² in Podgorica, Montenegro",Montenegro,"Podgorica, Podgorica Capital City, Montenegro",,,2.0,,5.0,2.0,128 m²,,228147.0,https://realting.com/uploads/bigSlider/879/830a99c33c5b7.webp,https://realting.com/property-for-sale/montenegro/athos/852234
"Apartment  in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2022.0,,,,,,,,304177.0,https://realting.com/uploads/bigSlider/909/2f9e68462f5d7c5c23d27ba0f2504.webp,https://realting.com/property-for-sale/turkey/stay-property/1638198
"2 room apartment 48 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,1.0,48 m²,,288036.0,https://realting.com/uploads/bigSlider/877/fad2272a68f.webp,https://realting.com/property-for-sale/montenegro/md-realty/298058
"3 room apartment 72 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1955.0,4.0,4.0,3.0,,,72 m²,44 m²,122000.0,https://realting.com/uploads/bigSlider/d92/7f86997a514b043e5336faad30f3a.webp,https://realting.com/property-for-sale/belarus/centr-nedvizhimost-7ya/1768043
"1 room apartment 25 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,8.0,1.0,,1.0,25 m²,,44809.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654723
"1 room apartment 35 m² in Phuket, Thailand",Thailand,"Phuket Province, Phuket, Thailand",,8.0,4.0,2.0,1.0,1.0,35 m²,,46800.0,https://realting.com/uploads/bigSlider/1a1/ac0e1a76f6ddf4cd84929052f6706.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1518538
"3 room apartment 100 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2013.0,16.0,2.0,3.0,,,100 m²,50 m²,159000.0,https://realting.com/uploads/bigSlider/0ea/d9cb8220ff1d8becfa66307a28bf6.webp,https://realting.com/property-for-sale/belarus/centr-nedvizhimost-7ya/1768046
"1 room apartment 22 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,7.0,2.0,1.0,1.0,22 m²,,38862.0,https://realting.com/uploads/bigSlider/943/9afc8fc93f786ce2bdffddae20c79.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1672102
"2 room apartment 85 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2015.0,,,,2.0,1.0,85 m²,,240211.0,https://realting.com/uploads/bigSlider/3ce/90e912c4bd23d.webp,https://realting.com/property-for-sale/montenegro/md-realty/297669
"2 room apartment 88 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,,,,2.0,,88 m²,,210668.0,https://realting.com/uploads/bigSlider/aae/89167b59c60a3.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1524052
"2 room apartment 108 m² in Dobrota, Montenegro",Montenegro,"Dobrota, Kotor Municipality, Montenegro",,,,,2.0,2.0,108 m²,,288036.0,https://realting.com/uploads/bigSlider/492/0235b454fb6b7.webp,https://realting.com/property-for-sale/montenegro/dream-estates-montenegro/1271895
"2 room apartment 78 m² in Kotor, Montenegro",Montenegro,"Kotor, Kotor Municipality, Montenegro",,,,2.0,,,78 m²,,263037.0,https://realting.com/uploads/bigSlider/e7c/c99b7204c6681b0c1b7c7168e22d7.webp,https://realting.com/property-for-sale/montenegro/westhill-property-d-o-o/1748046
"2 room apartment 160 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2015.0,,,,2.0,2.0,160 m²,,321731.0,https://realting.com/uploads/bigSlider/f10/ee6d903f83c41.webp,https://realting.com/property-for-sale/montenegro/md-realty/289454
"2 room apartment 104 m² in Montenegro, Montenegro",Montenegro,Montenegro,,,,,2.0,,104 m²,,271732.0,https://realting.com/uploads/bigSlider/b14/e148aa6c79d33.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1524289
"2 room apartment  in Dobrota, Montenegro",Montenegro,"Dobrota, Kotor Municipality, Montenegro",,,,3.0,2.0,1.0,,80 m²,286881.0,https://realting.com/uploads/bigSlider/052/740edcc3c36894368edc21623a431.webp,https://realting.com/property-for-sale/montenegro/vector-estate-montenegro/1760802
"2 room apartment 89 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2018.0,4.0,4.0,,2.0,2.0,89 m²,50 m²,258558.0,https://realting.com/uploads/bigSlider/73e/6d32408984ba34cb93071c325ded8.webp,https://realting.com/property-for-sale/montenegro/mnestate/1667409
"5 room apartment 149 m² in Podgorica, Montenegro",Montenegro,"Podgorica, Podgorica Capital City, Montenegro",,,2.0,,5.0,,149 m²,,289126.0,https://realting.com/uploads/bigSlider/533/1f1e0cce78c07.webp,https://realting.com/property-for-sale/montenegro/athos/852071
"2 room apartment 110 m² in Risan, Montenegro",Montenegro,"Risan, Kotor Municipality, Montenegro",,1.0,,3.0,2.0,3.0,110 m²,,325426.0,https://realting.com/uploads/bigSlider/638/e92cb852247cf.webp,https://realting.com/property-for-sale/montenegro/value-one/122505
"3 room apartment 154 m² in Cekmekoey, Turkey",Turkey,"Cekmekoey, Marmara Region, Cekmekoey Askeri Boelge, Turkey",2023.0,,,3.0,,1.0,154 m²,,325547.0,https://realting.com/uploads/bigSlider/693/00ad73883b4c6c443a82295271dd4.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1758038
"Apartment 210 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,,,,210 m²,,337000.0,https://realting.com/uploads/bigSlider/29c/8643985257cbf.webp,https://realting.com/property-for-sale/turkey/right-home-real-estate-consultancy/1273447
"4 room villa 220 m² in Fethiye, Turkey",Turkey,"Aegean Region, Fethiye, Turkey",2024.0,2.0,,,,,220 m²,200 m²,239124.0,https://realting.com/uploads/bigSlider/73c/58d4d3505d179a07c4c55203cf442.webp,https://realting.com/property-for-sale/turkey/inest-homes/1767952
"1 room Condo 31 m² in Phuket, Thailand",Thailand,"Phuket Province, Phuket, Thailand",,,,,1.0,,31 m²,,50607.0,https://realting.com/uploads/bigSlider/dc0/1c93ef54243ab.webp,https://realting.com/property-for-sale/thailand/phuket-buy-house/768952
"1 room Condo 30 m² in Phuket, Thailand",Thailand,"Phuket Province, Phuket, Thailand",,,,,1.0,,30 m²,,51545.0,https://realting.com/uploads/bigSlider/b33/1d52d0ea5241f.webp,https://realting.com/property-for-sale/thailand/phuket-buy-house/769625
"1 room apartment 25 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,1.0,1.0,,1.0,25 m²,,37365.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654708
"2 room apartment 70 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,1.0,70 m²,,259721.0,https://realting.com/uploads/bigSlider/dab/5015aada4925b.webp,https://realting.com/property-for-sale/montenegro/victory-united-doo/1632634
"1 room apartment 96 m² in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",2015.0,,,,1.0,1.0,96 m²,,233690.0,https://realting.com/uploads/bigSlider/638/d853413dac46f.webp,https://realting.com/property-for-sale/montenegro/md-realty/289424
"2 room apartment 90 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,,90 m²,,307601.0,https://realting.com/uploads/bigSlider/9dc/36e466462646b.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1393812
"2 room apartment  in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",2014.0,,,,2.0,2.0,,,260863.0,https://realting.com/uploads/bigSlider/51c/4ab6355bc4e5c4e0385fc4cadcd90.webp,https://realting.com/property-for-sale/montenegro/md-realty/297987
"3 room apartment 90 m² in Montenegro, Montenegro",Montenegro,Montenegro,,,,,3.0,,90 m²,,369556.0,https://realting.com/uploads/bigSlider/558/539d4a674ce5e01b7a639ac9f6759.webp,https://realting.com/property-for-sale/montenegro/mercury-group/1521756
"2 room apartment 77 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,3.0,,2.0,1.0,77 m²,,309775.0,https://realting.com/uploads/bigSlider/75a/98c999b84a633.webp,https://realting.com/property-for-sale/montenegro/3-brd-consulting-doo/1250091
"2 room apartment 92 m² in Morinj, Montenegro",Montenegro,"Morinj, Kotor Municipality, Montenegro",,,,3.0,2.0,2.0,92 m²,,273000.0,https://realting.com/uploads/bigSlider/377/e3ea594867bbe314dd82bf31a3a3c.webp,https://realting.com/property-for-sale/montenegro/first-realty/1696478
"2 room apartment 118 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,,118 m²,,,https://realting.com/uploads/bigSlider/733/0d62c96534727.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1275832
"2 room apartment 90 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,,,,2.0,,90 m²,,260863.0,https://realting.com/uploads/bigSlider/142/04fc645b37ceb.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1632801
"2 room apartment 104 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,2.0,104 m²,,298905.0,https://realting.com/uploads/bigSlider/d43/427e0be8526cb.webp,https://realting.com/property-for-sale/montenegro/montbel-d-o-o/407873
"3 room apartment 96 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023.0,,,3.0,,1.0,96 m²,,309775.0,https://realting.com/uploads/bigSlider/bcd/8e88e3f62d1097988bb1a3a081e7b.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1707138
"4 room apartment 140 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,1.0,1.0,4.0,,,140 m²,,331789.0,https://realting.com/uploads/bigSlider/b6b/1a949495e9293.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1542534
"1 room apartment 85 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yunusabad district, Uzbekistan",,10.0,3.0,3.0,1.0,2.0,85 m²,,125000.0,https://realting.com/uploads/bigSlider/e16/5a5e5041323f18df6c469d1e1cf94.webp,https://realting.com/uzbekistan/property/1767950
"1 room apartment 64 m² in Khanabad, Uzbekistan",Uzbekistan,"Khanabad, Tashkent Region, Zangiota Tumani, Uzbekistan",,6.0,4.0,2.0,1.0,1.0,64 m²,,190000.0,https://realting.com/uploads/bigSlider/c78/3960b5dc3b1d7222a9e7c23f36dc6.webp,https://realting.com/uzbekistan/property/1767896
"Apartment 24 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2016.0,20.0,1.0,,,,24 m²,,55000.0,https://realting.com/uploads/bigSlider/cfc/50d507a566115a016ae04d7ae7168.webp,https://realting.com/property-for-sale/thailand/rieltor-bez-granic/1716616
"1 room apartment 23 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,8.0,1.0,,1.0,23 m²,,42437.0,https://realting.com/uploads/bigSlider/943/9afc8fc93f786ce2bdffddae20c79.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654724
"1 room apartment 24 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",,8.0,8.0,1.0,,1.0,24 m²,,42749.0,https://realting.com/uploads/bigSlider/a44/bade8edafe6952405bf9165e34985.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1674153
"3 room apartment 100 m² in Bar, Montenegro",Montenegro,"Bar, Bar Municipality, Montenegro",,,,,3.0,2.0,100 m²,,237571.0,https://realting.com/uploads/bigSlider/4a4/236daad895667.webp,https://realting.com/property-for-sale/montenegro/vevi/1599401
"2 room apartment 71 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,,71 m²,,222820.0,https://realting.com/uploads/bigSlider/4e8/952666c567633.webp,https://realting.com/property-for-sale/montenegro/md-realty/297553
"2 room apartment 80 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,,80 m²,,228255.0,https://realting.com/uploads/bigSlider/53d/4cc4fcc9c0353.webp,https://realting.com/property-for-sale/montenegro/md-realty/289446
"3 room apartment 104 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,4.0,3.0,2.0,104 m²,,259744.0,https://realting.com/uploads/bigSlider/3af/361011fdcc833.webp,https://realting.com/property-for-sale/montenegro/es35-com/1584792
"2 room apartment 68 m² in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",,,,,2.0,,68 m²,,,https://realting.com/uploads/bigSlider/4d9/4b6c894d4547b.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1237429
"2 room apartment 92 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,2.0,92 m²,,249993.0,https://realting.com/uploads/bigSlider/892/8e1d2dc6e4753.webp,https://realting.com/property-for-sale/montenegro/3-brd-consulting-doo/282644
"2 room apartment 100 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,4.0,3.0,2.0,2.0,100 m²,,253596.0,https://realting.com/uploads/bigSlider/024/c5df8b8cf8b061e22d115d59d7e13.webp,https://realting.com/property-for-sale/montenegro/recom/1739985
"2 room apartment 180 m² in Montenegro, Montenegro",Montenegro,Montenegro,,,,,2.0,,180 m²,,233690.0,https://realting.com/uploads/bigSlider/ae5/18311db7a7883.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1606401
"2 room apartment 92 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,2.0,,92 m²,,,https://realting.com/uploads/bigSlider/8c0/f2b4ef09594cb.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1514878
"3 room apartment 110 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",,9.0,3.0,3.0,,,110 m²,,290687.0,https://realting.com/uploads/bigSlider/d4d/330397234cfd.webp,https://realting.com/property-for-sale/turkey/zera-homes/1534240
"1 room apartment 62 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Chilanzar District, Uzbekistan",,9.0,7.0,2.0,1.0,1.0,62 m²,,120000.0,https://realting.com/uploads/bigSlider/62f/ee1e7e0580ff613ec8669d0abe746.webp,https://realting.com/uzbekistan/property/1767732
"1 room apartment 95 m² in Khanabad, Uzbekistan",Uzbekistan,"Khanabad, Tashkent, Uzbekistan",,9.0,2.0,2.0,1.0,1.0,95 m²,,110000.0,https://realting.com/uploads/bigSlider/0e4/255979cdb7a320b32f1596d8a8978.webp,https://realting.com/uzbekistan/property/1764970
"1 room apartment 55 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2021.0,6.0,2.0,2.0,1.0,,55 m²,,314122.0,https://realting.com/uploads/bigSlider/2be/0d409826a26edde6c545638e7c2fb.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1750824
"1 room studio apartment 23 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2021.0,8.0,1.0,1.0,,1.0,23 m²,,44993.0,https://realting.com/uploads/bigSlider/186/d20401043314f337fbe4ecd0d68a1.webp,https://realting.com/property-for-sale/thailand/ilya/1754073
"3 room apartment 150 m² in Yalci, Turkey",Turkey,"Yalci, Mediterranean Region, Alanya, Turkey",,8.0,5.0,4.0,3.0,2.0,150 m²,,227168.0,https://realting.com/uploads/bigSlider/8a6/38a34c36c0705be35e67858a62161.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1767857
"Apartment 77 m² in Kolašin Municipality, Montenegro",Montenegro,"Kolašin Municipality, Montenegro",,,,,,,77 m²,,226238.0,https://realting.com/uploads/bigSlider/a18/9dd111bd66563.webp,https://realting.com/property-for-sale/montenegro/a-place-in-montenegro/794047
"2 room apartment 110 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",,4.0,2.0,3.0,2.0,,110 m²,,257602.0,https://realting.com/uploads/bigSlider/867/75e478ca9a4b50ce05ceb7355538e.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1767856
"1 room apartment 64 m² in Montenegro, Montenegro",Montenegro,Montenegro,,,,,1.0,,64 m²,,197821.0,https://realting.com/uploads/bigSlider/c65/858ea38b0d477.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1583659
"2 room apartment 87 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,,,4.0,2.0,2.0,87 m²,,249741.0,https://realting.com/uploads/bigSlider/95c/aaf3a830af087.webp,https://realting.com/property-for-sale/montenegro/es35-com/1574269
"Apartment 54 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,,,,,,54 m²,,255428.0,https://realting.com/uploads/bigSlider/a79/54cfa6010a2f8642afef69b742526.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1766251
"2 room apartment 86 m² in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",,,,,2.0,,86 m²,,336948.0,https://realting.com/uploads/bigSlider/48a/76a6d03afd3507d4ead2fa30372ea.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1363640
"2 room apartment 106 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,,,,2.0,,106 m²,,,https://realting.com/uploads/bigSlider/8b2/a91a5b338460b27b28e9487420bfa.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1275831
"1 room apartment 51 m² in Boreti, Montenegro",Montenegro,"Boreti, Budva Municipality, Montenegro",2014.0,,,,1.0,1.0,51 m²,,228255.0,https://realting.com/uploads/bigSlider/cea/e6f748a0e1d496ab9d47efa7fabbc.webp,https://realting.com/property-for-sale/montenegro/md-realty/569563
"1 room apartment 47 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,,,1.0,,47 m²,,271732.0,https://realting.com/uploads/bigSlider/c21/0befeb98baa55c27af2e81b407cac.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1741704
"3 room apartment 100 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",,,1.0,4.0,3.0,1.0,100 m²,,284716.0,https://realting.com/uploads/bigSlider/ce1/3d8239a5ab1b1.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1519656
"3 room apartment 76 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",,16.0,14.0,3.0,,,76 m²,,105261.0,https://realting.com/uploads/bigSlider/743/4b4fc6bc9e06882c4d18c8544f68c.webp,https://realting.com/uzbekistan/property/1760546
"3 room apartment 81 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Olmazor district, Uzbekistan",,13.0,12.0,3.0,,,81 m²,,121000.0,https://realting.com/uploads/bigSlider/c96/d7183205d77c93dffbdf06ddb53ea.webp,https://realting.com/uzbekistan/property/1766899
"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025.0,11.0,1.0,2.0,,1.0,92 m²,50 m²,286406.0,https://realting.com/uploads/bigSlider/0ac/18e044aa8439305e319cddabf4654.webp,https://realting.com/property-for-sale/turkey/rpt/1745558
"3 room apartment 141 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,3.0,3.0,141 m²,,336000.0,https://realting.com/uploads/bigSlider/53a/8aa47ac325cb3.webp,https://realting.com/property-for-sale/turkey/trem-global/1272554
"3 room apartment 110 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",,11.0,7.0,3.0,,,110 m²,,308855.0,https://realting.com/uploads/bigSlider/673/fc4940cc33867.webp,https://realting.com/property-for-sale/turkey/zera-homes/1630113
"1 room apartment 64 m² in Bahcelievler, Turkey",Turkey,"Bahcelievler, Marmara Region, Turkey",2024.0,13.0,,2.0,1.0,1.0,64 m²,43 m²,310861.0,https://realting.com/uploads/bigSlider/62b/7faabf4fb23cfe03596b5d3845960.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1728332
"3 room apartment 80 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,3.0,3.0,3.0,,,80 m²,,273580.0,https://realting.com/uploads/bigSlider/46f/eaa0a56c6a42b.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1559458
